"anonym_id","duration..in.seconds.","finished","recordeddate","dismiss_1","research_stage","q22","q22_6_text","feeling_stage_1","feeling_stage_2","feeling_stage_3","feeling_stage_4","feeling_stage_5","feeling_stage_6","feeling_stage_7","feeling_stage_8","feeling_stage_9","feeling_stage_10","feeling_stage_11","feeling_stage_12","feeling_stage_13","feeling_stage_14","feeling_stage_15","feeling_stage_16","feeling_stage_17","feeling_stage_18","feeling_stage_19","feeling_stage_20","cause_stage","feeling_general_1","cause_general","category_of_work","position","area","gender","age","country","country_other"
1018,"159",TRUE,"2026-02-12 09:16:48","Yes","Data collection","","","2","1","1","1","1","1","1","1","1","1","0","0","0","0","2","2","3","3","3","3","i am just depressed","0","monotonous routines","Field research","PhD student","Health sciences","Woman","28","Germany",""
1019,"673",TRUE,"2026-02-12 09:21:18","Yes","Revisions","","","7","3","4","6","5","3","1","2","2","2","0","0","0","0","1","1","0","0","0","0","Created more interest, joy and pride as the project was good and we can show impact and be successful.","3","interest and passion for research and make positive impact on science and people. ","Field research","Full professor","Life sciences","Man","55","United States of America",""
1020,"202",TRUE,"2026-02-12 09:25:33","Yes","Data analysis","","","7","7","7","7","7","0","0","0","0","0","4","0","0","0","4","0","0","0","0","0","","3","self-esteem","Clinical research","Associate professor","Health sciences","Man","45","France",""
1021,"201",TRUE,"2026-02-12 09:32:10","Yes","Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Accepted and published","","7","6","7","6","6","7","4","5","5","4","1","0","0","0","1","0","2","1","1","1","pride","2","I can orientate my research myself","Clinical research","Associate professor","Life sciences","Man","49","Belgium",""
1022,"110",TRUE,"2026-02-12 09:32:49","Yes","Data collection","","","2","1","1","1","1","1","1","1","1","1","1","1","1","1","3","2","2","0","1","1","","2","","Clinical research","Full professor","Health sciences","Man","44","France",""
1023,"193",TRUE,"2026-02-12 09:33:56","Yes","Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Accepted but not yet published","","7","2","7","7","0","7","0","0","7","2","1","1","1","1","1","1","1","1","0","0","","3","","Lab/online research","Full professor","Life sciences","Man","46","Denmark",""
1024,"263",TRUE,"2026-02-12 09:45:40","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","7","3","4","5","3","5","3","3","2","6","1","2","3","1","2","1","1","1","1","1","The research project is challenging on many levels, content, collaboration, but also really cool!","3","Nothing beats discovery!","Clinical research","Associate professor","Health sciences","Man","70","Switzerland",""
1025,"169",TRUE,"2026-02-12 09:52:55","Yes","Data collection","","","4","2","3","3","3","3","1","1","1","0","1","2","2","0","0","0","0","0","0","0","","1","Falta de tiempo para dedicarme en profundidad","Clinical research","Assistant professor","Health sciences","Woman","44","Spain",""
1026,"434",TRUE,"2026-02-12 10:01:58","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","6","0","6","6","6","4","6","6","1","6","3","4","3","1","3","3","0","0","0","0","Pride in collaboration with co-researchers working under very under-resourced conditions to work on a project of professional worth provides sense of personal and professional value and contribution to the field. ","0","I have a lot of innovative ideas which excite me can't be executed due to time, organisational and financial constraints - so the positive and negative elements are in opposition. ","Clinical research","Non-academic researcher","Health sciences","Woman","53","South Africa","Africa"
1027,"263",TRUE,"2026-02-12 10:03:35","Yes","Report writing","","","0","5","4","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","it's always interesting to write a manuscript and discover connections that only appear when you write","3","I did what I wanted and I did it mostly as I wanted, with reasonable success","Lab/online research","Full professor","Life sciences","Man","68","Italy",""
1028,"302",TRUE,"2026-02-12 10:07:11","Yes","Revisions","","","7","7","5","7","7","7","7","7","5","7","1","1","1","1","1","1","1","7","1","1","","2","Curiosity for the novel innovation application in my research field","Field research","PhD student","Health sciences","Man","29","China",""
1029,"905",TRUE,"2026-02-12 10:10:27","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","7","4","1","5","6","0","0","0","0","0","5","0","4","0","5","5","0","0","0","7","The interest comes from the fact that I find the topic particularly engaging and that it has meaningful practical implications. At the same time, I feel a real anger in response to the institutional and administrative difficulties that make the implementation of the project challenging and significantly complicate my work. I sometimes have the impression that I have to constantly fight just to be able to do my job.","0","I selected “neutral” because my overall feelings about my life as a researcher oscillate between extremely positive and extremely negative periods. On the positive side, I genuinely enjoy my work: I find research intellectually stimulating and meaningful, I appreciate several of my colleagues, and I value my relationship with students, which I find motivating and rewarding. On the negative side, I experience significant frustration due to administrative burdens and the difficulty of securing funding for my research. There is also considerable stress associated with not always being able to implement projects as planned, and the presence of certain toxic individuals within my institution negatively affects my overall experience.","Lab/online research","Full professor","Health sciences","Man","36","France",""
1030,"395",TRUE,"2026-02-12 10:15:49","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","7","4","6","6","6","6","6","5","3","4","0","0","0","0","0","0","0","0","0","0","There is very little evidence in this field so far. I am therefore very interested in this topic, also in order to ensure that our work will be cost-effective in the future based on proven effectiveness. ","2","It makes me proud to be able to work in science. It's a privilege.","Clinical research","Postdoc","Health sciences","Woman","46","Germany",""
1031,"490",TRUE,"2026-02-12 10:30:36","Yes","Data analysis","","","7","4","6","4","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Curiosity regarding the outcome.
Preoccupation with the task of writing and correcting the manuscript and satisfaction after its completion.","3","I was an early innovator and received recognition by my peers for my work","Clinical research","Associate professor","Health sciences","Man","84","South Africa",""
1032,"255",TRUE,"2026-02-12 10:38:40","Yes","Data collection","","","6","5","2","3","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","Most intense feeling: interest.
Cause: Hoping for answers on the basis of our findings. ","-1","Not enough time.","Clinical research","Assistant professor","Health sciences","Woman","43","Germany",""
1033,"774",TRUE,"2026-02-12 10:43:06","Yes","Project genesis/ first thoughts/ idea creation","","","5","2","0","1","1","0","0","0","0","0","2","0","0","0","1","4","0","0","0","1","It is the beginning of something, the formulation of new ideas.","-2","Uncertainty","Lab/online research","Postdoc","Life sciences","Man","43","Hungary",""
1034,"8679",TRUE,"2026-02-12 10:57:45","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","6","1","4","4","2","3","1","1","1","1","1","1","1","1","1","1","4","4","5","5","the preparation of IRB documents and study protocol take so long and are so elaborate that it makes me angry and hating the documents I am working on. when it is getting ready and finalized I am happy and proud of the end results and the work I did","1","being a researcher gives me a lot of freedom to work on a topic I am genuinely interested in. the financial aspects, securing grant money in a highly competitive field, make my feelings more negative, from +2 to +1","Clinical research","Assistant professor","Health sciences","Woman","43","Switzerland",""
1035,"398",TRUE,"2026-02-12 11:00:18","Yes","Project genesis/ first thoughts/ idea creation","","","7","6","1","7","7","3","6","0","1","6","0","0","0","0","0","0","0","0","0","0","Science is my happy island in a confusing, often hurtful and disappointing world. While submerged in research, I get an intense feeling of happiness akin to love.","3","Freedom to persue my ideas, good funding, exccellent working conditions and nice collegues.","Lab/online research","Assistant professor","Life sciences","Man","56","Denmark",""
1036,"520",TRUE,"2026-02-12 11:24:12","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","7","4","5","6","5","4","0","0","0","0","0","0","0","0","4","1","0","0","0","0","interest - because there are new things to learn, a new team must be assembled, decisions have to be made. ","2","There is no routine (in the sense of boring) work; most days there are new challenges to solve.","Lab/online research","Postdoc","Health sciences","Woman","32","Germany",""
1037,"461",TRUE,"2026-02-12 11:32:48","Yes","Data analysis","","","7","6","6","6","5","6","2","3","5","4","1","1","2","1","3","1","1","1","1","2","I felt it was fun to see what I had planned come into fruition. ","2","I have job security and a manager that supports me. ","Lab/online research","Assistant professor","Health sciences","Man","36","Norway",""
1038,"548",TRUE,"2026-02-12 11:38:03","Yes","Data collection","","","7","5","5","5","4","5","0","","","","","","","","","","","","","","Very importamt, clinically significant and largely unexplored project, collaborative effort","2","Morivation and the importance of work. Mentoring students, seeing them grow","Lab/online research","Full professor","Health sciences","Man","49","United States of America",""
1039,"925",TRUE,"2026-02-12 11:48:50","Yes","Report writing","","","5","3","4","3","3","4","1","3","2","1","3","0","2","2","5","5","3","3","3","2","Interest: When writing your scientific research down, you move beyond analysis and try to synthesise meaning. It is interesting to see how your findings differ from others or generate same insights and motivate how they can impact your field of research. 

At the same time it also comes with disappointment. Where you have to make do with what you have, but it feels never good enough. You have to look at your research and find its flaws, also feeling like you should have done things differently from the beginning because it would have saved you so much time/effort or it would have provided different insights perhaps. 

And then there is the fear that no one will be interested in actually publishing/reading your research. You wonder why you've spend so much effort on it anyways. 

It is an emotional rollercoaster.","0","It is nice to work on novel things. Life as an healthcare research provides me with a lot of flexibility which in an engineering company I would not necessarily have. I sometimes miss adding any practical value and despise how long everything takes. Pursuing an career in research within academia I do not find attractive because it is also a life with a lot of uncertainties (financially, where you are positioned, durations of contracts).","Clinical research","PhD student","Health sciences","Woman","29","Netherlands",""
1040,"208",TRUE,"2026-02-12 12:16:25","Yes","Project genesis/ first thoughts/ idea creation","","","6","5","6","6","6","2","6","6","6","7","3","3","3","3","3","3","3","3","3","3","It's my original idea, unique, authentic. ","2","Recogniztion in scientific world","Clinical research","Associate professor","Health sciences","Woman","43","United Kingdom of Great Britain and Northern Ireland",""
1041,"157",TRUE,"2026-02-12 12:29:00","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","3","1","1","1","1","1","1","1","1","1","4","1","7","0","4","0","2","7","3","3","red tape","2","making new discoveries is great, the paper work is not","Lab/online research","Full professor","Life sciences","Man","59","United Kingdom of Great Britain and Northern Ireland",""
1042,"252",TRUE,"2026-02-12 12:32:21","Yes","Project genesis/ first thoughts/ idea creation","","","6","6","6","6","6","5","6","6","5","5","3","2","1","0","1","2","2","2","0","2","","1","","Clinical research","Full professor","Health sciences","Man","50","Iran",""
1043,"231",TRUE,"2026-02-12 12:48:26","Yes","Data analysis","","","5","0","4","0","2","1","0","0","6","0","2","0","2","2","2","1","0","0","1","1","Enjoy analyzing ","2","Enjoy attention ","Clinical research","Full professor","Health sciences","Woman","63","Canada",""
1044,"410",TRUE,"2026-02-12 13:00:24","Yes","Data collection","","","7","7","7","7","7","6","7","7","7","7","4","4","2","2","2","3","5","2","2","5","All the good feelings because of the love for the topic and the opportunity to perform the investigation. But some anger and disgust because I depend on the commitment of other people","-1","Having to depend on the actions of other people. I really like investigating, but there is much lost time during different processes (review, journal response, participants disponibility)","Field research","PhD student","Health sciences","Man","27","Spain",""
1045,"2504",TRUE,"2026-02-12 13:11:24","Yes","Report writing","","","6","3","3","4","2","3","0","3","0","4","0","0","0","3","5","0","4","0","0","5","poor quality in writing","3","creating something new and change medicine","Clinical research","Full professor","Health sciences","Man","69","Switzerland","Italy"
1046,"443",TRUE,"2026-02-12 13:51:40","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","6","1","6","4","1","1","4","4","4","6","5","2","2","0","7","6","0","0","0","2","The ups and downs that go along with recruiting multiple sites, often not having them work out, the time delays that occur that affect data collection, the joys of seeing things work out when they do, the hope that comes along with each contact","1","Burnout. I love my work, but I have been going in multiple directions for months now and it shows no sign of stopping go at least 6mo","Clinical research","Assistant professor","Social sciences","Woman","50","United States of America",""
1047,"656",TRUE,"2026-02-12 14:58:06","Yes","Waiting for journal's response and revisions","","","6","5","6","3","4","4","0","4","6","0","0","0","0","0","2","0","0","0","0","1","I always take pride in my work - it is who I am. There is always a feeling of relief once the project is sufficiently mature to submit to a journal. And of course I am interested in my own work, or I wouldn't do it","3","I think the work I do is important and contributes to the benefit of all mankind, both by expanding what we know about the human body, and applying that knowledge to improve human health. I have also had the pleasure of training others as biomedical researchers, and insuring that the work goes on","Lab/online research","Full professor","Health sciences","Woman","76","United States of America",""
1048,"521",TRUE,"2026-02-12 15:07:14","Yes","Report writing","","","5","5","5","5","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","Because I was writing up","3","My ability to collect the needed data","Field research","PhD student","Health sciences","Man","40","United Kingdom of Great Britain and Northern Ireland",""
1049,"326",TRUE,"2026-02-12 15:17:26","Yes","Data analysis","","","7","1","5","5","5","5","0","0","5","0","0","0","0","0","2","0","0","0","0","0","Doing data analysis and programming statistics and seeing the results captures my interest and attention - to see results in graphs and charts and tables and to spend time interpreting results is fascinating ","-1","A controlling boss","Clinical research","Associate professor","Health sciences","Woman","51","United States of America",""
1050,"597",TRUE,"2026-02-12 15:58:33","Yes","Data analysis","","","3","2","3","3","3","3","0","2","1","1","0","0","0","0","0","0","0","0","0","0","Pride - we are in the stage where things are coming together and results are coming out. I feel proud of the progress that we've made and excited for dissemination.","1","Prior to 2025, I would have rated a +3, very positive. However, since January 2025, the political environment in the US has made it quite challenging for researchers. While I still love what I do, I feel uncertain about the future, and also how impactful my research will be in this landscape.","Lab/online research","Associate professor","Health sciences","Woman","41","United States of America",""
1051,"239",TRUE,"2026-02-12 16:18:03","Yes","Data collection","","","5","6","5","6","5","4","3","3","5","3","2","3","2","1","1","3","1","1","1","0","lack of time but still moving forward","2","when achieve publication 2 in last 6 months","Clinical research","Assistant professor","Health sciences","Woman","56","United Kingdom of Great Britain and Northern Ireland",""
1052,"288",TRUE,"2026-02-12 16:48:51","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","7","4","4","1","1","0","5","1","3","1","5","0","0","0","5","5","0","0","1","3","The long administrative process and high administrative costs ","2","I’m fortunate that research is only part of my work and I have opportunities to do clinical research at low or no costs. I think my feelings would be very different if I’m a full time researcher and if my salary depends on grants. ","Clinical research","Postdoc","Health sciences","Woman","35","United States of America",""
1053,"970",TRUE,"2026-02-12 16:58:15","Yes","Report writing","","","6","6","7","6","6","7","6","4","7","0","1","0","0","0","0","2","0","0","0","0","I was pride of myself because it is my first real and great postdoctoral grant.
I also felt a huge relief when completing the report, because I was having a plenty of other tasks in other research projects waiting for me.","3","I can do what I really love for a living, so my work is my passion and hobby.","Lab/online research","Postdoc","Health sciences","Woman","38","Hungary",""
1054,"306",TRUE,"2026-02-12 17:02:31","Yes","Data collection","","","5","4","6","3","5","4","1","6","3","3","1","1","1","1","2","1","1","1","1","1","I admire my team for the rigor of their work and am pround of their achievements.","2","I feel that my work matters and that I can contribute to society. I am honoured to work with many very dedicated persons and enjoy engaging with them - some of them as friends.","Field research","Full professor","Life sciences","Woman","58","Germany",""
1055,"1154",TRUE,"2026-02-12 18:45:39","Yes","Data analysis","","","2","1","3","3","4","4","0","0","0","0","1","1","2","1","3","1","0","0","0","0","I am learning new techniques and I love to see the results","1","I love my job","Lab/online research","Associate professor","Life sciences","Man","39","France",""
1056,"211",TRUE,"2026-02-12 19:21:32","Yes","Data analysis","","","3","2","3","3","5","5","5","6","4","5","5","4","4","4","6","5","5","5","5","5","","1","","Lab/online research","Assistant professor","Health sciences","Woman","35","Jordan",""
1057,"248",TRUE,"2026-02-12 19:54:54","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","7","4","7","7","7","7","5","5","2","2","0","0","0","0","2","0","0","0","0","0","discovery","3","discovery","Clinical research","Full professor","Health sciences","Man","88","United States of America",""
1058,"233",TRUE,"2026-02-12 20:10:58","Yes","Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Accepted but not yet published","","7","6","6","6","7","6","6","6","6","6","1","1","1","1","1","1","1","1","1","1","","2","","Lab/online research","Full professor","Physical sciences","Man","50","Hungary",""
1059,"179",TRUE,"2026-02-12 20:11:04","Yes","Report writing","","","7","3","5","3","4","4","0","4","4","2","1","2","0","0","5","0","0","0","0","0","a colleague's very long delay in doing the analyses","1","too much red tape, delays, barriers, challenges with funding","Clinical research","Full professor","Health sciences","Woman","61","Canada",""
1060,"1196123",TRUE,"2026-02-12 20:22:33","Yes","Report writing","","","4","3","2","2","2","4","4","5","5","5","5","5","5","5","5","5","5","5","6","6","Lack of clear guidance,","1","Overburdened with tasks","Clinical research","PhD student","Health sciences","Man","32","Portugal","The Netherlands"
1061,"244",TRUE,"2026-02-12 20:28:58","Yes","Data analysis","","","7","4","5","5","6","5","4","6","7","4","0","0","0","0","0","0","0","0","0","0","My passion is understanding how things work, or why they did not work as planned.  Thus interest runs high in my day-to-day life.  Relief is more variable, but in the last month that one is right up there as we completed the project (thus relieved) and are working on data (thus interest).","3","Funding success","Clinical research","Full professor","Health sciences","Man","72","United States of America",""
1062,"180",TRUE,"2026-02-12 21:56:18","Yes","Waiting for journal's response and revisions","","","7","7","7","7","7","7","7","7","7","6","4","4","4","4","7","7","7","7","5","5","","1","","Clinical research","Associate professor","Health sciences","Woman","41","Turkey",""
1063,"303",TRUE,"2026-02-12 22:30:28","Yes","Data collection","","","5","1","1","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","I want to know the outcome of the experiments","3","Interest in knowing/understanding an aspect of the world","Lab/online research","Full professor","Life sciences","Man","80","Australia",""
1064,"382",TRUE,"2026-02-12 22:47:35","Yes","Waiting for journal's response and revisions","","","5","0","4","4","4","4","0","0","3","0","4","0","0","0","5","0","0","0","0","0","Disappointment: Our manuscript was not sent to review in a journal we were hoping to publish it.","1","I am generally somewhat happy with my life as a researcher","Lab/online research","Assistant professor","Life sciences","Man","44","Finland",""
1065,"299",TRUE,"2026-02-12 22:51:40","Yes","Data collection","","","5","0","7","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Pride. The project is very positive and has the potential to change management internationally.","1","The red tape is overwhelming","Clinical research","Full professor","Health sciences","Man","65","Australia",""
1066,"994",TRUE,"2026-02-12 23:42:16","Yes","Waiting for journal's response and revisions","","","7","1","3","3","2","3","1","1","3","6","0","0","0","0","0","0","0","0","0","0","My feelings of interest and compassion are due to my sense of responsibility to help my student to publish her studies, which will be important for her career development. Compassion is a feeling stemming from understanding the difficulties in publishing in ""high impact journal"" in scientific enterprise, which has a real-life consequence for a trainee's future career. ","3","I have learned so much from the process of scientific enquiry, which helped me to understand the truth of reality.","Lab/online research","Associate professor","Health sciences","Woman","61","United States of America",""
1067,"113",TRUE,"2026-02-13 00:39:05","Yes","Project genesis/ first thoughts/ idea creation","","","7","3","7","7","7","7","6","6","6","6","3","5","5","5","5","1","1","1","1","1","","2","","Field research","PhD student","Social sciences","Woman","31","United States of America",""
1068,"422",TRUE,"2026-02-13 01:13:31","Yes","Data collection","","","3","4","3","4","3","5","2","1","1","0","0","0","0","0","0","0","0","0","0","0","Contentment: the topic is designed by myself","-2","too much tasks, and the intense pressure of publication, evaluation, and promotion competition has led to a sense of urgency about the immense uncertainty surrounding one's professional future.","Lab/online research","Assistant professor","Social sciences","Man","36","China",""
1069,"248",TRUE,"2026-02-13 02:02:51","Yes","Project genesis/ first thoughts/ idea creation","","","6","5","3","5","5","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","Creation and learning are pleasurable","1","It is a slow process and I don’t have enough time to do it but I still enjoy it","Clinical research","Assistant professor","Health sciences","Man","47","Canada",""
1070,"205",TRUE,"2026-02-13 03:59:50","Yes","Waiting for journal's response and revisions","","","7","1","7","7","7","7","6","6","5","0","5","0","7","0","5","0","0","0","0","5","","2","","Lab/online research","Associate professor","Health sciences","Woman","55","Turkey",""
1071,"709",TRUE,"2026-02-13 07:08:28","Yes","Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Accepted and published","","0","0","6","6","6","6","0","0","6","0","0","0","0","0","0","0","0","0","0","0","Pride: publishing a paper that received strong reviews makes me feel that I chose the correct career path and that others value my contributions.","2","Supportive colleagues","Lab/online research","Full professor","Life sciences","Man","73","United States of America",""
1072,"188",TRUE,"2026-02-13 07:51:09","Yes","Report writing","","","5","6","5","5","5","5","5","5","6","4","4","6","5","6","5","6","6","5","5","3","A lot of pressure in doing things great","-1","Very stressful to investigate and do clinical at the same time","Clinical research","PhD student","Physical sciences","Woman","30","Spain",""
1073,"28",FALSE,"2026-02-13 10:11:06","Yes","Project genesis/ first thoughts/ idea creation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1074,"779",TRUE,"2026-02-13 10:20:38","Yes","Data collection","","","7","1","6","2","1","3","4","7","4","7","5","2","1","0","4","1","0","0","0","0","I'm exploring researchers experiences of emotionally demanding research. The feelings are mixed, giving me a sense of purpose, admirations and compassion towards PGR students and colleagues, but also feelings dissapoited due to lack of support. Reeinforcing the need to better explore this area. ","3","My research is meaningful because I work on understanding people' experiences either related to health or research. I always aim to impact positevely how people can be better understood and supported.","Clinical research","Assistant professor","Health sciences","Woman","45","United Kingdom of Great Britain and Northern Ireland",""
1075,"280",TRUE,"2026-02-13 12:46:42","Yes","Report writing","","","5","2","5","4","5","5","2","3","3","4","0","0","3","0","0","0","0","0","0","0","Pleasure - writing a project that im truly interested in furthering, following on a project I should have said no to.","2","choosing a career that interests me, that i generally enjoy doing. Finding answers to questions about life and health ","Field research","Associate professor","Health sciences","Woman","52","United States of America",""
1076,"1058",TRUE,"2026-02-13 12:58:48","Yes","Data collection","","","4","1","5","3","3","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","Proud to finish data collection (reach a goal)","1","I believe in myself as a researcher","Clinical research","PhD student","Life sciences","Man","40","Belgium",""
1077,"373",TRUE,"2026-02-13 13:33:46","Yes","Waiting for journal's response and revisions","","","1","0","0","0","0","0","0","0","0","0","0","0","2","2","4","3","0","0","0","2","regret and anger that i was putting myself though this stress and anguish, disappointment at the anticipation of rejection, and fear of rejection and being made foolish. ","-2","Lack of opportunity to do the things I want to achieve in research","Field research","Postdoc","Health sciences","Man","60","United Kingdom of Great Britain and Northern Ireland",""
1078,"579",TRUE,"2026-02-13 14:38:51","Yes","Revisions","","","4","0","5","4","4","6","0","0","6","0","0","0","1","0","0","1","0","0","0","2","The cause of relief is that I was able to address revisions required by reviewers and supervisors and that they were only minor and did not require changes of analyses or interpretations.","2","Researchs allows me to work ideologically, dive into topics deeply, understand processes and constructs, collaborate with others and can be rewarding. But sometimes, it also causes distress and frustration, which is why I didn't choose the highest possible rating.","Lab/online research","PhD student","Life sciences","Woman","31","Germany",""
1079,"330",TRUE,"2026-02-13 16:08:05","Yes","Report writing","","","6","2","5","5","4","4","2","0","3","0","0","0","0","1","1","1","0","0","0","0","When writing this manuscript, I was deeply interested in the topic and the best way to communicate the study findings so they could be of use to policy-makers.","2","I enjoy the work and the impact it may have on the field and on practice.","Field research","Non-academic researcher","Social sciences","Woman","50","United States of America",""
1080,"412",TRUE,"2026-02-13 16:37:03","Yes","Report writing","","","5","4","5","4","5","5","0","0","1","5","0","0","0","0","0","0","0","0","0","0","I enjoyed the colleagues I worked with.","3","Have been fortunate to have many research opportunities and impacts.","Clinical research","Full professor","Health sciences","Man","60","United States of America",""
1081,"14",FALSE,"2026-02-13 16:56:28","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1082,"442",TRUE,"2026-02-13 17:55:02","Yes","Revisions","","","6","5","6","6","6","7","6","6","7","6","0","0","0","0","0","0","0","0","0","0","","2","Unique thoughts","Lab/online research","Research assistant","Social sciences","Man","28","Hungary",""
1083,"318",FALSE,"2026-02-13 18:25:34","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1084,"9841",TRUE,"2026-02-13 20:43:39","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","3","5","3","4","5","1","3","5","4","7","0","3","3","7","7","7","4","0","7","The sadness I feel is due to the changes in my ability to conduct my work due to ongoing funding and resource constraints. I had much bigger plans that I am no longer able to complete. ","3","I love my work. I am currently struggling with a difficult research environment and occasionally think about other fields. But I am drawn back to really enjoying my current work and its potential to help people.","Clinical research","Associate professor","Health sciences","Woman","36","United States of America",""
1085,"282",TRUE,"2026-02-13 22:39:34","Yes","Data analysis","","","7","7","7","7","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","","3","","Clinical research","Research assistant","Health sciences","Man","58","United States of America",""
1086,"158",TRUE,"2026-02-14 08:58:11","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","6","6","7","6","6","3","3","3","1","1","5","0","0","0","0","0","0","0","0","5","","0","","Clinical research","Research assistant","Health sciences","Woman","26","Iran",""
1087,"1334072",TRUE,"2026-02-14 11:50:06","Yes","Revisions","","","4","0","3","1","0","0","0","0","4","0","0","0","3","0","2","0","0","0","0","1","Relief that the manuscript was not rejected","-2","Overworked, recurrent rejection","Clinical research","Associate professor","Health sciences","Woman","49","Canada",""
1088,"448",TRUE,"2026-02-15 14:25:43","Yes","Data collection","","","7","3","3","0","0","0","0","0","0","0","7","0","7","7","7","0","7","7","3","3","the attitude of collaborators not engaged in the involvement in the project","2","satisfaction from results of my research","Clinical research","Full professor","Health sciences","Man","68","Poland",""
1089,"126",TRUE,"2026-02-15 19:53:18","Yes","Project genesis/ first thoughts/ idea creation","","","7","7","7","7","7","7","7","7","7","7","0","2","2","0","3","3","3","0","0","3","","0","","Lab/online research","Full professor","Life sciences","Man","51","United States of America",""
1090,"283",TRUE,"2026-02-15 23:46:40","Yes","Revisions","","","5","5","1","1","3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Absorption in the project that I am involved in.","3","My contribution to society","Lab/online research","Full professor","Social sciences","Man","86","Canada",""
1091,"111",TRUE,"2026-02-16 00:59:12","Yes","Project genesis/ first thoughts/ idea creation","","","7","7","3","3","3","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","-1","","Clinical research","Associate professor","Health sciences","Woman","","United Kingdom of Great Britain and Northern Ireland",""
1092,"3157",TRUE,"2026-02-16 08:11:07","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","0","4","0","2","5","0","4","4","0","0","0","0","0","0","0","0","0","0","0","Synopsis for thesis of MD student-- a mandatory work, delayed this year due to unavoidable reasons.","2","Interested in research but limited resources available for good research/ projects. So we have to do observational academic studies only. ","Clinical research","Full professor","Health sciences","Man","52","India",""
1093,"193",TRUE,"2026-02-16 09:10:12","Yes","Waiting for journal's response and revisions","","","3","2","3","2","3","2","3","2","5","2","1","1","1","1","1","1","1","1","1","1","It is a more or less passive phase so the workload is less","2","I have been conducting research along my residency programme. Luckily everything is going well until now. ","Clinical research","PhD student","Health sciences","Man","27","Netherlands",""
1094,"173",TRUE,"2026-02-16 09:27:44","Yes","Data collection","","","3","2","2","2","2","2","1","1","5","1","2","1","1","1","2","1","1","2","1","1","Relief, because a small part of the job has been executed, step by step","0","","Clinical research","Assistant professor","Health sciences","Man","36","Denmark",""
1095,"153",TRUE,"2026-02-16 17:15:37","Yes","Project genesis/ first thoughts/ idea creation","","","6","6","5","5","5","5","0","0","0","0","0","0","0","0","0","3","0","0","0","0","I like the idea of creating a new project ","2","It is very interesting and stimulating, however it can be stressful","Clinical research","Assistant professor","Health sciences","Woman","42","Switzerland",""
1096,"549",TRUE,"2026-02-17 01:02:23","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","4","3","3","3","3","3","3","3","4","0","0","0","0","0","0","0","0","0","0","0","Lack of time due to other ongoing committements","1","Only a small proportion of my efforts yield good results","Clinical research","Full professor","Health sciences","Woman","54","Portugal","Uk"
1097,"528",TRUE,"2026-02-17 17:42:28","Yes","Data analysis","","","7","5","6","5","6","6","4","5","3","7","7","3","3","0","2","0","0","1","0","1","I enjoy my work and think it's important so I generally feel positive feelings. The analysis stage is also the easiest to get lost in and feel positive. However, I've been feeling a mixture of negative feelings like frustration, sadness, disappointment etc. as well because I know that moving forward, my work is unlikely to continue to be funded under the current administration. ","1","I like my work, I think it's important, but I wish that my position were more secure and not completely contingent on short term grant success","Field research","Other","Health sciences","Woman","37","United States of America",""
1098,"250",TRUE,"2026-02-17 19:31:58","Yes","Report writing","","","6","2","4","5","5","4","1","2","6","4","2","0","0","0","0","0","0","0","2","1","I feel relieved that the experiments are done and the results are coming together.","1","I like it better than doing the same work each day all over again.","Lab/online research","Assistant professor","Physical sciences","Woman","30","Hungary",""
